Season,Date,Location,Team,Opponent,Jersey,PlayerName,StarterFlag,Mins,ThreePt_Made_Att,ThreePtPct,FG_Made_Att,FGPct,FT_Made_Att,FTPct,Reb_Off,Reb_Def,Reb_Tot,PF,AST,TO,BLK,STL,Pts
2021-22,"Sat Oct 2, 2021","Regina, SK",Mount Royal University Cougars,Regina Cougars,9,Dylan Lutes,1,33,1-3,33.3,5-11,45.5,0-1,0.0,0,1,1,2,4,3,0,2,11
2021-22,"Sat Oct 2, 2021","Regina, SK",Mount Royal University Cougars,Regina Cougars,10,Nicholas Tancon,1,27,0-1,0.0,4-14,28.6,0-1,0.0,4,5,9,1,1,0,1,2,8
2021-22,"Sat Oct 2, 2021","Regina, SK",Mount Royal University Cougars,Regina Cougars,1,Holt Tomie,1,25,1-3,33.3,2-10,20.0,2-2,100.0,1,2,3,4,6,7,0,0,7
2021-22,"Sat Oct 2, 2021","Regina, SK",Mount Royal University Cougars,Regina Cougars,2,Matt Fullerton,0,15,2-2,100.0,2-3,66.7,0-2,0.0,0,1,1,1,3,2,0,0,6
2021-22,"Sat Oct 2, 2021","Regina, SK",Mount Royal University Cougars,Regina Cougars,13,Daniel Mulder,0,7,0-0,0.0,0-0,0.0,0-0,0.0,0,4,4,0,1,1,0,0,0
2021-22,"Sat Oct 2, 2021","Regina, SK",Regina Cougars,Mount Royal University Cougars,8,Benjamin Hillis,1,30,2-4,50.0,6-12,50.0,2-3,66.7,1,4,5,4,7,2,0,1,16
2021-22,"Sat Oct 2, 2021","Regina, SK",Regina Cougars,Mount Royal University Cougars,3,Brayden Kuski,0,23,4-8,50.0,6-10,60.0,0-0,0.0,1,2,3,4,3,2,1,2,16
2021-22,"Sat Oct 2, 2021","Regina, SK",Regina Cougars,Mount Royal University Cougars,13,Carter Millar,1,29,0-1,0.0,5-7,71.4,5-7,71.4,0,10,10,5,3,3,0,2,15
2021-22,"Sat Oct 2, 2021","Regina, SK",Regina Cougars,Mount Royal University Cougars,12,Arinze Emeka-Anyakwo,1,24,4-8,50.0,5-11,45.5,0-0,0.0,1,4,5,1,1,1,0,3,14
2021-22,"Sat Oct 2, 2021","Regina, SK",Regina Cougars,Mount Royal University Cougars,4,Josiah Thomas,1,26,0-1,0.0,5-10,50.0,4-5,80.0,0,2,2,5,4,1,0,2,14
2021-22,"Sat Oct 2, 2021","Regina, SK",Regina Cougars,Mount Royal University Cougars,5,Nick Barnard,0,24,0-3,0.0,2-8,25.0,4-4,100.0,1,5,6,2,1,0,2,0,8
2021-22,"Sat Oct 2, 2021","Regina, SK",Regina Cougars,Mount Royal University Cougars,7,Cade Mather,0,7,2-4,50.0,3-5,60.0,0-0,0.0,0,0,0,1,0,1,0,0,8
2021-22,"Sat Oct 2, 2021","Regina, SK",Regina Cougars,Mount Royal University Cougars,15,Hayden Collier,1,15,1-3,33.3,2-6,33.3,2-2,100.0,2,1,3,3,0,1,2,0,7
2021-22,"Sat Oct 2, 2021","Regina, SK",Regina Cougars,Mount Royal University Cougars,9,Nigel Warden,0,14,1-2,50.0,1-3,33.3,0-0,0.0,0,2,2,2,1,2,0,0,3
2021-22,"Sat Oct 2, 2021","Regina, SK",Regina Cougars,Mount Royal University Cougars,14,Majok Madol,0,4,0-1,0.0,0-1,0.0,0-0,0.0,0,0,0,0,0,0,0,0,0
2021-22,"Sat Oct 2, 2021","Regina, SK",Regina Cougars,Mount Royal University Cougars,6,Dakota McBride-Marean,0,4,0-0,0.0,0-3,0.0,0-0,0.0,1,0,1,0,0,0,0,0,0
